Amuraisa,145.416239,-6.598584
Amurun,149.57,-6.04466
Amusa No 1,145.397471,-6.657768
Amusa No 2,145.391495,-6.653833
Amusi,145.484195,-6.548872
Amuwanumuto,145.386491,-6.045771
Amuya,145.947132,-6.23196
Amuya,145.481587,-6.453168
Ana,147.532558,-7.823464
Anagusa Island,151.244579,-10.710709
Anahabak,145.653854,-4.975547
Anahadabu,147.590889,-9.506177
Anakawz,145.54934,-6.390129
Anake,154.750493,-5.443342
Anal,143.522434,-5.985569
Anali,143.376307,-5.987681
Analo,149.512157,-6.178057
Anambo,143.95506,-5.906184
Anandia Village,146.584699,-7.582178
Anarai Road S'ment,145.870923,-6.28941
Anato,150.273,-6.27991
Anatua 1,148.189586,-9.11916
Anatua 2,148.174519,-9.10542
Anauk (Hogru No 2),141.312024,-3.840355
Anave,148.711056,-10.18298
Anawe,143.119888,-5.48009
Anchar,146.225357,-6.317278
Anda,143.424241,-6.118256
Anda Lower,144.412574,-5.830333
Andai,143.351215,-6.109405
Andakam C/Sch & A/Post,143.457786,-5.6381
Andakapela,144.200298,-5.851228
Andakapku,144.636691,-5.968694
Andakelkang,144.190416,-6.038731
Andakombi,145.746543,-7.136327
Andalmale,143.699552,-5.445704
Andamang,144.773677,-4.855887
Andaorong,144.280996,-5.726224
Andapunga,144.423121,-5.683833
Andari,143.900418,-6.401517
Andarora,146.481142,-7.239062
Andarum,144.68757,-4.362793
Andau,144.109646,-6.433245
Andawana,143.332959,-5.94787
Andawana,143.346698,-5.936482
Andawayuha,145.323874,-5.984166
Andaya,142.578019,-5.581879
Ande,147.435459,-6.503933
Andeamarup,144.931532,-4.438543
Andefukuan,143.829692,-4.410425
Andekaursunga,144.991737,-6.02762
Andimbit,143.586822,-4.953147
Andinamanda,143.838462,-5.687165
Andindin,147.298276,-6.172492
Andiria,142.756364,-5.692235
Andita,142.994093,-5.479444
Anditale,143.837737,-5.372259
Anditale Stn. Sch.,143.66766,-5.409643
Andokoi,143.472801,-5.861642
Andol,143.576221,-6.26256
Andom,143.540665,-5.899603
Andomanda,143.992219,-5.937889
Andra Island,147.004491,-1.938125
Andrai,147.898744,-5.74622
Andu,144.479594,-5.853484
Andua,144.160549,-6.488057
Anduar,143.84225,-4.280557
Andupindi,145.516413,-6.645851
Anea,145.844553,-7.509235
Aneda,143.858571,-6.251611
Anego Plnt,145.360121,-5.984001
Anei,148.127118,-9.23741
Anekehalo,145.386491,-6.045771
Anepmete,148.651,-5.85345
Anepulu,144.028879,-6.194168
Anga (Mandau),144.163045,-5.838913
Anga Kalu,144.011811,-6.672314
Anga/Afing,146.161101,-6.307598
Angabena,146.241314,-7.326919
Angagoi,144.884311,-5.867088
Angagoi C/Sch,144.889486,-5.864309
Angai,145.886775,-7.233968
Angai,145.888548,-7.237486
Angaiya,146.298901,-7.272924
Angakasa,145.781961,-6.851338
Angal / Botogoigoi,149.062,-5.66241
Anganamei,143.274621,-4.589879
Anganere,145.026879,-5.952873
Angara,142.536666,-3.653133
Angarago,142.621666,-5.443566
Angasa,145.033772,-4.794606
Angau,149.591,-6.0362
Angau Dr. & Hagwa St.,147.196944,-9.463109
Angau Dr. /Maho Pl.,147.197217,-9.471634
Angau/Karai Pl. 42,147.199218,-9.476407
Ange,144.097747,-6.380507
Ange 2,144.100739,-6.388225
Angel Island,142.482418,-3.150572
Angelek,149.575,-6.12723
Angenmol 1,144.690122,-5.90234
Angenmol 2,144.690718,-5.902527
Angewanga,146.256878,-7.31557
Angia,145.185764,-6.078884
Angia,146.012404,-7.286903
Angiki.2,144.232661,-5.729914
Angil,144.171997,-5.938037
Angimanda,143.821138,-5.672519
Angin Monan,144.781853,-5.971516
Anginbe,144.721807,-5.944169
Angisi,144.283622,-4.665548
Angkanai,155.624336,-6.2445
Angkitkita,153.185778,-3.505645
Anglican,147.322939,-9.408616
Anglimp Station,144.413297,-5.830716
Ango,148.378333,-8.737222
Ango Coffee,145.558373,-6.687073
Ango Plantation,145.415144,-6.10434
